area,year,quarter,latitude,longitude,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,nearest_tower_distance_km,tower_count_1km,tower_count_2km,tower_count_5km,visible_tower_count_5km,digital_elevation_model,region_enc,typeOfArea_enc,city_enc,demand_growth_pct,region,typeOfArea,city,block_number,tower_density_ratio,year_trend,area_rolling_d_mbps,area_median_d,area_median_u,area_median_lat,area_test_count,distance_x_density
A'ali,2024,4,26.16858561,50.51605225,211.633,31.97133333,20.16666667,66,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,0.379603399,Northern Governorate,PPLX,A'ali,714,0.014234875,4,197.3808333,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2025,1,26.16874994,50.5145874,343.4718,41.9284,17,75,0.854452965,3.2,13.6,185,125.4,10,2,5,0,-0.470225873,Northern Governorate,PPLX,A'ali,714,0.017204301,5,202.5993333,178.8578333,23.14375,20.41666667,2070,0.004593833
A'ali,2025,2,26.16858561,50.51605225,232.462,24.44866667,17,105,0.949577272,2.666666667,11.5,186.3333333,127,10,2,5,0,-0.470225873,Northern Governorate,PPLX,A'ali,714,0.014234875,5,277.5524,178.8578333,23.14375,20.41666667,2070,0.005068918
A'ali,2025,3,26.16874994,50.5145874,303.2616,35.392,15.2,37,0.854452965,3.2,13.6,185,125.4,10,2,5,0,-0.470225873,Northern Governorate,PPLX,A'ali,714,0.017204301,5,287.9669,178.8578333,23.14375,20.41666667,2070,0.004593833
A'ali,2025,4,26.16874994,50.5145874,293.9122,36.826,15.8,41,0.854452965,3.2,13.6,185,125.4,10,2,5,0,-0.470225873,Northern Governorate,PPLX,A'ali,714,0.017204301,5,267.8618,178.8578333,23.14375,20.41666667,2070,0.004593833
Abu Baham,2020,1,26.20719851,50.54260254,57.8915,13.5155,17,29,0.985405947,0.5,28.5,761,540,7,0,4,1,0,Capital Governorate,PPL,Abu Baham,411,0.000656168,0,152.4206623,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2020,2,26.20719851,50.54260254,25.242,8.429,28.5,77,0.985405947,0.5,28.5,761,540,7,0,4,1,0,Capital Governorate,PPL,Abu Baham,411,0.000656168,0,57.8915,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2020,3,26.20719851,50.54260254,47.1265,12.562,23.5,46,0.985405947,0.5,28.5,761,540,7,0,4,1,0,Capital Governorate,PPL,Abu Baham,411,0.000656168,0,41.56675,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2020,4,26.20719851,50.54260254,35.101,10.6485,21,43,0.985405947,0.5,28.5,761,540,7,0,4,1,0,Capital Governorate,PPL,Abu Baham,411,0.000656168,0,36.18425,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2021,1,26.20719851,50.54260254,109.166,18.4835,18,35,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.18974359,Capital Governorate,PPL,Abu Baham,411,0.000656168,1,41.11375,116.48325,15.60975,19,1210,0.001293184
