Date,latitude,longitude,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,block_number
1/1/2020,26.2860275,50.57830811,4.029,3.417,22,1,
1/1/2020,26.31065059,50.62225342,11.932,3.027,22,1,
1/1/2020,26.30572639,50.62225342,32.232,17.256,28,87,
1/1/2020,26.2860275,50.60028076,23.765,17.882,18,2,
1/1/2020,26.28110226,50.58380127,29.366,4.51,22,1,
1/1/2020,26.28110226,50.58929443,27.02,23.63,21,1,
1/1/2020,26.28110226,50.60028076,54.6,13.959,17,10,
1/1/2020,26.2761768,50.5947876,66.72,17.609,17,8,
1/1/2020,26.2761768,50.60028076,47.023,28.155,16,5,
1/1/2020,26.29095254,50.62225342,0.993,2.612,28,2,
1/1/2020,26.2860275,50.61676025,41.079,7.974,18,4,
1/1/2020,26.2860275,50.62225342,42.558,13.354,16,51,
1/1/2020,26.28110226,50.60577393,59.62,20.614,16,31,
1/1/2020,26.28110226,50.61126709,16.654,3.492,27,6,
1/1/2020,26.2761768,50.60577393,47.152,16.265,16,32,
1/1/2020,26.2761768,50.61126709,33.034,12.563,21,32,
1/1/2020,26.28110226,50.61676025,11.167,6.976,47,2,
1/1/2020,26.28110226,50.62225342,41.451,17.032,19,26,
1/1/2020,26.2761768,50.61676025,19.382,5.804,17,2,
1/1/2020,26.2761768,50.62225342,7.516,4.786,28,4,
1/1/2020,26.19734113,50.3036499,25.992,1.168,24,1,
1/1/2020,26.22691077,50.440979,29.973,6.517,20,7,
1/1/2020,26.22691077,50.44647217,54.876,17.707,14,2,
1/1/2020,26.22198302,50.440979,74.823,30.872,13,20,
1/1/2020,26.21705506,50.440979,30.53,11.936,18,7,
1/1/2020,26.21705506,50.44647217,83.84,22.554,16,23,
1/1/2020,26.21212689,50.44647217,22.82,13.951,20,5,
1/1/2020,26.20719851,50.44647217,40.864,17.371,18,8,
1/1/2020,26.18748291,50.31463623,75.31,59.349,18,2,
1/1/2020,26.18748291,50.32012939,37.173,28.251,38,23,
1/1/2020,26.18748291,50.32562256,48.712,11.497,31,4,
1/1/2020,26.18255349,50.32012939,19.382,16.653,48,9,
1/1/2020,26.18255349,50.32562256,22.067,16.919,42,33,
1/1/2020,26.18255349,50.33111572,37.253,17.209,82,36,
1/1/2020,26.18255349,50.33660889,46.315,19.245,43,3,
1/1/2020,26.18255349,50.34759521,48.365,4.494,104,2,
1/1/2020,26.18255349,50.35308838,18.068,9.142,69,1,
1/1/2020,26.18255349,50.35858154,3.191,2.479,18,1,
1/1/2020,26.18255349,50.36407471,11.241,0.974,244,1,
1/1/2020,26.18255349,50.36956787,5.193,2.984,124,2,
1/1/2020,26.17762386,50.37506104,7.528,4.286,217,1,
1/1/2020,26.17762386,50.3805542,1.897,2.894,391,1,
1/1/2020,26.17762386,50.38604736,4.166,2.387,156,2,
1/1/2020,26.17269402,50.39154053,30.115,8.237,75,3,
1/1/2020,26.17269402,50.39703369,57.557,22.17,90,2,
1/1/2020,26.16776397,50.41351318,7.199,0.096,12,1,
1/1/2020,26.17269402,50.43548584,9,9.478,40,2,
1/1/2020,26.16776397,50.42999268,14.255,5.659,38,5,
1/1/2020,26.17269402,50.44647217,8.785,5.533,89,2,
1/1/2020,26.2564729,50.48492432,65.032,16.853,16,1,
1/1/2020,26.24169277,50.4574585,15.463,29.466,21,1,
1/1/2020,26.23676565,50.4574585,21.532,4.933,25,3,
1/1/2020,26.23676565,50.46295166,2.167,2.412,15,1,
1/1/2020,26.23676565,50.46844482,58.331,16.89,19,13,
1/1/2020,26.23676565,50.48492432,136.874,19.238,13,1,
1/1/2020,26.23676565,50.50140381,13.286,1.305,32,6,
1/1/2020,26.23676565,50.50689697,22.768,3.032,14,1,
1/1/2020,26.24661969,50.53436279,18.507,2.789,23,2,
1/1/2020,26.24169277,50.52337646,18.265,6.853,15,3,
1/1/2020,26.23676565,50.52337646,14.633,8.143,50,29,
1/1/2020,26.24169277,50.52886963,38.781,13.358,17,9,
1/1/2020,26.24169277,50.53436279,158.081,21.691,19,32,
1/1/2020,26.23676565,50.52886963,31.348,21.171,21,13,
1/1/2020,26.23676565,50.53436279,88.367,20.891,25,108,
1/1/2020,26.22691077,50.45196533,3.495,2.698,33,4,
1/1/2020,26.22691077,50.4574585,2.881,6.981,26,4,
1/1/2020,26.23183831,50.46295166,29.74,12.779,19,7,
1/1/2020,26.23183831,50.46844482,18.662,6.974,19,11,
1/1/2020,26.22691077,50.46295166,8.895,11.803,27,4,
1/1/2020,26.22691077,50.46844482,47.696,13.806,18,7,
1/1/2020,26.22198302,50.4574585,44.121,27.248,18,4,
1/1/2020,26.21705506,50.45196533,34.774,7.446,20,35,
1/1/2020,26.21705506,50.4574585,50.866,13.933,16,5,
1/1/2020,26.22198302,50.46295166,59.089,17.421,19,19,
1/1/2020,26.22198302,50.46844482,52.77,13.226,18,31,
1/1/2020,26.21705506,50.46295166,41.325,13.769,20,52,
1/1/2020,26.21705506,50.46844482,28.134,13.311,19,65,
1/1/2020,26.23183831,50.47393799,20.277,11.807,18,2,
1/1/2020,26.23183831,50.47943115,46.122,18.691,19,14,
1/1/2020,26.22691077,50.47393799,72.302,23.883,14,3,
1/1/2020,26.22691077,50.47943115,60.143,20.231,21,26,
1/1/2020,26.23183831,50.48492432,51.48,18.425,18,25,
1/1/2020,26.23183831,50.49041748,80.046,28.745,19,10,
1/1/2020,26.22691077,50.48492432,17.796,9.008,20,11,
1/1/2020,26.22691077,50.49041748,16.74,5.064,16,2,
1/1/2020,26.22198302,50.47393799,63.961,25.506,14,5,
1/1/2020,26.21705506,50.47393799,22.337,17.877,21,7,
1/1/2020,26.21705506,50.47943115,48.587,16.043,22,35,
1/1/2020,26.22198302,50.48492432,40.065,15.447,22,7,
1/1/2020,26.22198302,50.49041748,24.648,13.432,19,3,
1/1/2020,26.21705506,50.48492432,60.285,14.765,16,5,
1/1/2020,26.21705506,50.49041748,41.402,12.484,33,11,
1/1/2020,26.21212689,50.45196533,23.523,11.024,25,33,
1/1/2020,26.21212689,50.4574585,28.827,10.913,28,41,
1/1/2020,26.20719851,50.45196533,18.97,6.155,27,13,
1/1/2020,26.20719851,50.4574585,41.321,10.941,30,30,
1/1/2020,26.21212689,50.46295166,24.093,14.448,21,15,
1/1/2020,26.21212689,50.46844482,59.434,17.313,21,12,
1/1/2020,26.20719851,50.46295166,35.284,17.073,18,12,
1/1/2020,26.20719851,50.46844482,75.671,15.219,16,11,
1/1/2020,26.20226992,50.45196533,1.307,2.248,57,1,
1/1/2020,26.20226992,50.4574585,11.425,13.882,18,2,
1/1/2020,26.20226992,50.46295166,73.999,34.738,13,2,
1/1/2020,26.20226992,50.46844482,51.643,4.343,20,2,
1/1/2020,26.19734113,50.46295166,78.019,21.845,16,22,
1/1/2020,26.19734113,50.46844482,114.392,12.64,17,9,
1/1/2020,26.21212689,50.47393799,27.887,6.514,24,14,
1/1/2020,26.21212689,50.47943115,39.002,4.931,24,15,
1/1/2020,26.20719851,50.47393799,51.425,18.777,46,15,
1/1/2020,26.20719851,50.47943115,45.288,9.848,25,2,
1/1/2020,26.21212689,50.48492432,48.924,15.741,22,17,
